,City,Country,Date,Lat,Lon,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Ust'-Omchug,RU,1584498446,61.15,149.63,7.34,82,100,5.93
1,Faya,SA,1584498446,18.39,42.45,61.66,87,40,9.17
2,Shaoguan,CN,1584498446,24.8,113.58,64.62,86,100,2.84
3,Saint-Philippe,RE,1584498358,-21.36,55.77,71.06,88,90,5.82
4,Ust-Maya,RU,1584498447,60.42,134.53,15.89,87,100,3.06
5,Mar del Plata,AR,1584498166,-38.0,-57.56,64.74,93,100,4.7
6,Mataura,NZ,1584498355,-46.19,168.86,60.01,64,42,5.99
7,Linhares,BR,1584498447,-19.39,-40.07,72.99,95,83,2.75
8,East London,ZA,1584498384,-33.02,27.91,69.21,76,0,4.52
9,Arraial do Cabo,BR,1584498152,-22.97,-42.03,71.6,100,75,9.22
10,Rikitea,PF,1584498357,-23.12,-134.97,80.69,80,63,9.89
11,Khilok,RU,1584498447,51.37,110.47,21.27,72,100,13.87
12,Hermanus,ZA,1584498365,-34.42,19.23,65.5,92,30,3.42
13,Saint Paul Harbor,US,1584498364,57.79,-152.41,42.8,75,90,6.93
14,Kahului,US,1584498101,20.89,-156.47,68.94,94,75,9.17
15,Vaini,TO,1584498360,-21.2,-175.2,80.6,78,75,9.17
16,Talcahuano,CL,1584498448,-36.72,-73.12,60.8,82,0,9.17
17,Husavik,IS,1584498367,66.04,-17.34,32.0,95,90,32.21
18,Port Blair,IN,1584498309,11.67,92.75,82.4,68,100,8.34
19,Bluff,NZ,1584498356,-46.6,168.33,60.01,64,83,5.99
20,Warmbad,NA,1584498448,-28.45,18.73,66.47,33,0,2.82
21,Puerto Madero,MX,1584498448,14.72,-92.42,84.2,70,40,4.07
22,Inhambane,MZ,1584498448,-23.86,35.38,73.49,73,21,13.44
23,Bengkulu,ID,1584498369,-3.8,102.27,88.72,56,47,2.08
24,Naze,JP,1584498379,28.37,129.48,66.2,63,75,6.93
25,Qaanaaq,GL,1584498378,77.48,-69.36,-19.48,57,92,7.72
26,Kaitangata,NZ,1584498365,-46.28,169.85,51.73,72,28,8.34
27,Dikson,RU,1584498360,73.51,80.55,-8.81,100,100,5.32
28,Esperance,AU,1584498355,-33.87,121.9,69.8,40,40,26.4
29,Chokurdakh,RU,1584498156,70.63,147.92,-14.28,91,91,12.5
30,Port Alfred,ZA,1584498358,-33.59,26.89,64.0,94,0,4.0
31,Yellowknife,CA,1584498358,62.46,-114.35,-5.13,64,75,5.82
32,Zhezkazgan,KZ,1584498563,47.8,67.71,26.6,92,90,2.24
33,Bredasdorp,ZA,1584498154,-34.53,20.04,66.2,72,0,5.82
34,Gayéri,BF,1584498564,12.65,0.49,79.29,11,0,4.76
35,Yerbogachën,RU,1584498366,61.28,108.01,2.57,85,0,4.74
36,Nome,US,1584498564,64.5,-165.41,31.05,92,90,6.93
37,Khatanga,RU,1584498384,71.97,102.5,-12.17,85,100,7.96
38,Tasiilaq,GL,1584498368,65.61,-37.64,14.0,78,73,8.05
39,Rome,US,1584498453,43.21,-75.46,38.28,69,90,9.17
40,Torbay,CA,1584498366,47.67,-52.73,28.0,79,90,24.16
41,Punta Arenas,CL,1584498121,-53.15,-70.92,53.35,66,75,24.16
42,Nishihara,JP,1584498669,26.18,127.76,70.23,60,75,13.87
43,Albany,US,1584498298,42.6,-73.97,38.17,74,75,6.93
44,Santa Vitória do Palmar,BR,1584498670,-33.52,-53.37,69.13,79,100,9.64
45,Sibolga,ID,1584498670,1.74,98.78,86.94,50,1,0.72
46,Kapaa,US,1584498358,22.08,-159.32,72.54,88,90,8.05
47,Abu Kamal,SY,1584498670,34.45,40.92,55.27,73,100,15.17
48,Vao,NC,1584498670,-22.67,167.48,76.87,75,35,19.64
49,Klaksvík,FO,1584498338,62.23,-6.59,37.4,61,100,25.28
50,Santo Tomas,PH,1584498760,14.11,121.14,85.12,55,20,5.82
51,Kavieng,PG,1584498760,-2.57,150.8,78.17,89,100,7.85
52,Kruisfontein,ZA,1584498364,-34.0,24.73,61.27,86,0,10.38
53,Vila Franca do Campo,PT,1584498761,37.72,-25.43,53.6,81,20,2.24
54,Chicama,PE,1584498761,-7.84,-79.15,71.6,88,40,11.41
55,Upernavik,GL,1584498380,72.79,-56.15,-8.14,53,90,7.7
56,Dingle,PH,1584498761,11.0,122.67,85.15,62,10,12.75
57,Saurimo,AO,1584498761,-9.66,20.39,64.8,97,100,3.29
58,Port Hedland,AU,1584498761,-20.32,118.57,100.4,25,0,6.93
59,Verāval,IN,1584498623,20.9,70.37,78.98,28,0,8.66
60,Prince Rupert,CA,1584498607,54.32,-130.32,46.4,76,1,6.93
61,Hostotipaquillo,MX,1584498761,21.07,-104.07,69.4,73,0,5.01
62,High Level,CA,1584498762,58.52,-117.14,19.4,57,40,4.7
63,Nanortalik,GL,1584498544,60.14,-45.24,20.26,54,39,8.57
64,Chui,UY,1584498356,-33.7,-53.46,69.37,78,100,11.95
65,Samarinda,ID,1584498762,-0.5,117.15,88.21,60,47,6.29
66,Ekhabi,RU,1584498762,53.51,142.97,26.04,90,85,10.11
67,Yulara,AU,1584498762,-25.24,130.99,96.8,18,0,9.17
68,Waiuku,NZ,1584498762,-37.25,174.75,70.5,40,0,8.05
69,Pavlovsk,RU,1584498762,50.46,40.11,32.81,62,2,3.29
70,Jamestown,US,1584498357,42.1,-79.24,33.26,86,1,9.17
71,Huarmey,PE,1584498762,-10.07,-78.15,72.46,70,100,1.66
72,Hilo,US,1584498366,19.73,-155.09,72.48,83,90,9.17
73,Hobart,AU,1584498097,-42.88,147.33,69.51,31,75,12.75
74,Severo-Yeniseyskiy,RU,1584498763,60.37,93.04,19.08,92,100,13.22
75,Marabba,SD,1584498763,12.35,32.18,70.3,15,90,9.44
76,Labuhan,ID,1584498763,-6.88,112.21,85.19,71,16,6.17
77,Cape Town,ZA,1584498276,-33.93,18.42,64.54,88,26,9.17
78,Cidreira,BR,1584498365,-30.18,-50.21,73.53,83,88,25.03
79,Vostok,RU,1584498763,46.49,135.88,30.25,91,99,6.91
80,Padang,ID,1584498383,-0.95,100.35,80.83,62,94,2.51
81,Çumra,TR,1584498763,37.57,32.77,21.2,73,40,11.41
82,Saldanha,ZA,1584498217,-33.01,17.94,59.0,87,21,5.82
83,Barrow,US,1584498374,71.29,-156.79,15.8,78,1,20.8
84,Salalah,OM,1584498583,17.02,54.09,78.8,61,75,4.7
85,Khorixas,NA,1584498764,-20.37,14.97,71.65,66,0,3.29
86,Thompson,CA,1584498378,55.74,-97.86,-0.4,44,5,5.82
87,Bella Vista,US,1584498764,36.43,-94.23,52.84,81,1,6.93
88,Paita,PE,1584498764,-5.09,-81.11,78.89,77,99,5.91
89,Castro,BR,1584498361,-24.79,-50.01,65.91,97,32,6.49
90,Hofn,IS,1584498373,64.25,-15.21,36.25,94,93,20.76
91,Wynyard,AU,1584498764,-41.0,145.72,66.54,75,100,3.0
92,Ushuaia,AR,1584498356,-54.8,-68.3,55.4,50,40,10.29
93,Warrnambool,AU,1584498764,-38.38,142.48,67.86,59,100,13.96
94,Ancud,CL,1584498382,-41.87,-73.82,48.2,100,0,3.36
95,Ankpa,NG,1584498765,7.37,7.63,78.24,81,100,8.63
96,Namatanai,PG,1584498765,-3.67,152.43,85.08,68,82,2.04
97,Saskylakh,RU,1584498153,71.92,114.08,-17.12,78,0,11.92
98,Busselton,AU,1584498142,-33.65,115.33,65.17,39,6,18.84
99,Mossamedes,AO,1584498382,-15.2,12.15,73.35,81,100,4.7
100,Ishigaki,JP,1584498855,24.34,124.16,77.0,61,20,13.87
101,Comodoro Rivadavia,AR,1584498602,-45.87,-67.5,55.4,87,0,5.82
102,Palana,RU,1584498855,59.12,159.97,19.24,80,100,12.03
103,Hay River,CA,1584498856,60.82,-115.8,-2.2,77,75,8.05
104,Avarua,CK,1584498191,-21.21,-159.78,80.6,88,100,12.75
105,Alboraya,ES,1584498856,39.5,-0.35,56.1,82,75,3.36
106,Beringovskiy,RU,1584498856,63.05,179.32,32.74,86,98,5.23
107,Pevek,RU,1584498360,69.7,170.31,20.25,94,100,17.49
108,Port Augusta,AU,1584498856,-32.5,137.77,92.61,17,0,17.22
109,Zhangaözen,KZ,1584498856,43.3,52.8,39.07,80,100,17.52
110,Bethel,US,1584498211,41.37,-73.41,43.92,86,20,5.91
111,Hithadhoo,MV,1584498367,-0.6,73.08,84.67,75,0,11.52
112,Olinda,BR,1584498856,-8.01,-34.86,84.2,74,20,6.93
113,Aklavik,CA,1584498375,68.22,-135.01,17.6,72,40,6.93
114,Kyra,RU,1584498857,49.58,111.98,25.9,40,0,26.84
115,Port Hardy,CA,1584498356,50.7,-127.42,46.4,61,5,5.82
116,Vaitape,PF,1584498857,-16.52,-151.75,83.77,70,100,7.87
117,Coquimbo,CL,1584498857,-29.95,-71.34,59.0,87,0,3.36
118,Tiksi,RU,1584498857,71.69,128.87,-28.86,88,0,7.2
119,Saint George,US,1584498682,37.1,-113.58,49.64,47,90,8.05
120,Ambanja,MG,1584498857,-13.68,48.45,75.22,88,20,3.71
121,Guadalajara,MX,1584498732,20.67,-103.33,71.28,38,20,11.41
122,Zyryanka,RU,1584498857,65.75,150.85,-1.52,68,18,1.39
123,Hurghada,EG,1584498857,27.26,33.81,59.0,41,0,16.11
124,Oodweyne,SO,1584498857,9.41,45.06,64.8,89,63,7.18
125,Walvis Bay,NA,1584498858,-22.96,14.51,62.01,95,63,4.85
126,Sørland,NO,1584498858,67.67,12.69,40.73,68,67,24.25
127,Saint-Maximin-la-Sainte-Baume,FR,1584498858,43.45,5.86,43.77,86,0,2.08
128,Buşayrā,JO,1584498858,30.74,35.61,39.22,82,99,18.07
129,Hasaki,JP,1584498382,35.73,140.83,61.03,41,20,8.05
130,Mount Isa,AU,1584498263,-20.73,139.5,89.6,27,0,13.87
131,Carnarvon,AU,1584498363,-24.87,113.63,80.6,51,100,23.04
132,Seoul,KR,1584498700,37.57,126.98,48.6,65,1,2.24
133,Tuatapere,NZ,1584498364,-46.13,167.68,60.01,64,100,5.99
134,Andenes,NO,1584498858,69.31,16.12,33.44,72,100,14.99
135,Oeiras do Pará,BR,1584498858,-2.0,-49.85,74.84,96,96,2.48
136,Nouadhibou,MR,1584498859,20.93,-17.03,62.6,67,48,26.4
137,Atuona,PF,1584498364,-9.8,-139.03,82.47,75,99,11.1
138,College,US,1584498210,64.86,-147.8,34.43,51,75,2.64
139,Delījān,IR,1584498859,33.99,50.68,48.7,70,100,4.36
140,Bilibino,RU,1584498859,68.05,166.44,14.83,88,90,6.13
141,Zelenoborskiy,RU,1584498859,66.84,32.36,29.89,97,100,6.08
142,Presidente Epitácio,BR,1584498859,-21.76,-52.12,74.41,82,0,2.59
143,Amahai,ID,1584498859,-3.33,128.92,83.66,66,17,5.91
144,Gornopravdinsk,RU,1584498859,60.05,69.9,20.52,84,67,10.98
145,Provideniya,RU,1584498359,64.38,-173.3,30.2,86,75,24.61
146,Xapuri,BR,1584498860,-10.65,-68.5,71.94,99,100,3.42
147,New Norfolk,AU,1584498360,-42.78,147.06,69.71,43,100,19.46
148,Valparaíso,CL,1584498938,-33.04,-71.63,57.2,93,0,3.36
149,Norman Wells,CA,1584498366,65.28,-126.83,24.8,79,75,2.24
150,Buarcos,PT,1584498950,40.17,-8.88,49.68,93,0,1.12
151,Sos'va,RU,1584498950,59.18,61.86,22.33,84,67,7.7
152,Ostrovnoy,RU,1584498063,68.05,39.51,19.69,93,86,13.67
153,Nikolskoye,RU,1584498950,59.7,30.79,38.48,86,90,8.95
154,Leningradskiy,RU,1584498355,69.38,178.42,30.43,83,100,3.71
155,Ribeira Grande,PT,1584498120,38.52,-28.7,58.17,89,50,10.85
156,Songyuan,CN,1584498951,45.12,124.86,46.27,45,100,15.1
157,Geraldton,AU,1584498057,-28.77,114.6,74.3,41,100,12.75
158,Deqing,CN,1584498951,30.54,119.96,68.31,49,0,8.95
159,Masuguru,TZ,1584498951,-11.37,38.42,70.27,98,93,1.45
160,Puerto Ayora,EC,1584498368,-0.74,-90.35,80.01,77,0,8.01
161,Poum,NC,1584498360,-20.23,164.02,79.81,77,1,17.07
162,Hervey Bay,AU,1584498951,-25.3,152.85,80.33,51,75,14.99
163,Trairi,BR,1584498951,-3.28,-39.27,73.8,94,14,2.08
164,George Town,MY,1584498831,5.41,100.34,84.9,66,20,9.17
165,Den Helder,NL,1584498952,52.96,4.76,47.5,81,90,20.8
166,Montepuez,MZ,1584498952,-13.13,39.0,66.9,99,35,2.98
167,Vestmannaeyjar,IS,1584498952,63.44,-20.27,31.59,79,0,14.7
168,Sola,VU,1584498308,-13.88,167.55,84.43,69,91,7.25
169,Bambous Virieux,MU,1584498952,-20.34,57.76,73.74,100,20,5.82
170,Nchelenge,ZM,1584498952,-9.35,28.73,69.3,89,100,5.93
171,Auki,SB,1584498952,-8.77,160.7,84.22,73,0,6.42
172,Shache,CN,1584498952,38.42,77.24,48.99,76,100,3.33
173,Pandharpur,IN,1584498676,17.67,75.33,82.4,35,100,13.49
174,Saint-François,FR,1584498923,46.42,3.91,42.53,93,0,0.89
175,Mehamn,NO,1584498953,71.04,27.85,23.16,94,100,4.16
176,Jumla,NP,1584498953,29.27,82.18,45.32,26,0,2.73
177,Kutum,SD,1584498953,14.2,24.67,56.59,24,69,4.25
178,Saint-Pierre,RE,1584498920,-21.34,55.48,70.99,88,90,5.82
179,Cabo San Lucas,MX,1584498305,22.89,-109.91,70.75,56,75,4.7
180,Nekrasovka,RU,1584498953,48.35,135.23,39.2,38,100,13.42
181,Progreso,MX,1584498954,21.28,-89.67,79.41,74,5,11.41
182,Laguna,US,1584498734,38.42,-121.42,49.3,62,40,2.01
183,Kiryat Gat,IL,1584498783,31.61,34.76,51.03,87,75,5.82
184,Talnakh,RU,1584498901,69.49,88.4,12.2,85,75,29.08
185,Dunedin,NZ,1584498954,-45.87,170.5,63.0,50,47,8.01
186,Port Elizabeth,ZA,1584498365,-33.92,25.57,66.2,68,0,14.99
187,Rock Sound,BS,1584498954,24.9,-76.2,73.13,82,0,11.79
188,Baiyin,CN,1584498954,36.56,104.21,48.2,14,66,2.24
189,Kukuna,SL,1584498955,9.4,-12.67,72.25,83,23,3.89
190,Kamaishi,JP,1584498955,39.27,141.88,44.6,75,75,3.36
191,Xiuyan,CN,1584498955,40.29,123.27,52.7,45,56,15.03
192,Longyearbyen,SJ,1584498378,78.22,15.64,-16.6,68,20,9.17
193,Avera,US,1584498955,33.19,-82.53,60.24,100,1,2.37
194,Chimbote,PE,1584498955,-9.09,-78.58,75.83,67,56,4.27
195,Kastornoye,RU,1584498955,51.83,38.13,31.39,68,0,7.47
196,Avenal,US,1584499045,36.0,-120.13,48.99,81,75,6.93
197,Guerrero Negro,MX,1584498910,27.98,-114.06,63.23,65,28,9.42
198,Araouane,ML,1584499045,18.9,-3.53,77.13,10,100,9.04
199,Grand Gaube,MU,1584499045,-20.01,57.66,73.81,100,20,5.82
200,Santa Ana,US,1584499046,33.75,-117.87,53.06,47,20,5.82
201,Saryozek,KZ,1584499046,44.36,77.98,50.27,84,33,5.17
202,Cherskiy,RU,1584499046,68.75,161.3,3.38,91,100,12.24
203,Pangnirtung,CA,1584499046,66.15,-65.71,3.56,80,100,18.12
204,Koygorodok,RU,1584499046,60.45,51.0,22.6,90,100,8.41
205,Kainantu,PG,1584499046,-6.29,145.87,70.23,87,98,4.14
206,Launceston,AU,1584499046,-41.45,147.17,64.98,82,90,10.29
207,Wągrowiec,PL,1584499046,52.81,17.2,43.07,93,61,3.36
208,Tuktoyaktuk,CA,1584498909,69.45,-133.04,-4.0,83,75,4.7
209,Vardø,NO,1584499046,70.37,31.11,29.21,92,100,6.51
210,Black River,JM,1584499047,18.03,-77.85,79.03,57,20,16.11
211,Rincon,US,1584498845,32.3,-81.24,67.71,93,1,0.76
212,Yangi Marg`ilon,UZ,1584499047,40.43,71.72,53.6,54,88,9.17
213,Hirara,JP,1584499047,24.8,125.28,74.28,64,75,16.11
214,Province of Groningen,NL,1584499047,53.25,6.75,45.36,61,35,14.99
215,Taoudenni,ML,1584499047,22.68,-3.98,70.68,12,67,7.0
216,Pringsewu,ID,1584499047,-5.36,104.97,82.71,71,77,5.88
217,Sunbury,AU,1584499047,-37.58,144.73,81.75,32,94,26.4
218,Murgab,TM,1584499047,37.5,61.97,55.4,66,100,4.7
219,Corpus Christi,US,1584499047,27.8,-97.4,72.39,88,75,17.22
220,Orlik,RU,1584499047,52.52,99.83,8.15,68,48,5.37
221,San Lazaro,BZ,1584499048,18.04,-88.66,70.68,95,0,3.4
222,Ixtapa,MX,1584498906,20.7,-105.2,77.0,73,75,5.82
223,Denpasar,ID,1584499048,-8.65,115.22,84.2,79,20,5.82
224,Half Moon Bay,US,1584499048,37.46,-122.43,47.97,76,1,2.24
225,Bandarbeyla,SO,1584499048,9.49,50.81,79.11,72,51,12.08
226,Shimanovsk,RU,1584499048,52.0,127.7,29.16,93,100,7.49
227,Pitimbu,BR,1584499048,-7.47,-34.81,78.8,88,20,4.7
228,Tura,IN,1584499048,25.52,90.22,81.82,29,0,3.15
229,Vila Velha,BR,1584499048,-20.33,-40.29,78.46,88,40,3.36
230,Kryve Ozero,UA,1584499049,47.95,30.35,34.05,83,0,6.53
231,Grindavik,IS,1584498905,63.84,-22.43,31.05,86,75,21.92
232,Kushima,JP,1584499049,31.46,131.23,60.31,55,75,5.82
233,Ashland,US,1584499049,40.82,-82.27,35.01,74,1,2.93
234,Jalu,LY,1584499049,29.03,21.55,54.45,46,0,8.81
235,Butaritari,KI,1584499049,3.07,172.79,83.44,77,6,15.23
236,Camacha,PT,1584499049,33.08,-16.33,60.03,67,75,21.92
237,Batemans Bay,AU,1584499049,-35.72,150.18,75.0,45,0,1.01
238,Derzhavīnsk,KZ,1584499050,51.1,66.32,16.95,94,0,10.38
239,Souillac,MU,1584499050,-20.52,57.52,73.74,100,20,5.82
240,Coahuayana Viejo,MX,1584499050,18.73,-103.68,71.6,83,5,6.93
241,Senador José Porfírio,BR,1584499050,-2.59,-51.95,75.25,95,5,4.0
242,Merauke,ID,1584499050,-8.47,140.33,89.67,56,43,4.16
243,Buguda,IN,1584499050,19.82,84.8,84.09,50,0,3.11
244,Darnah,LY,1584499050,32.77,22.64,57.42,64,0,21.41
245,Kapoeta,SS,1584499140,4.77,33.59,81.99,52,100,13.09
246,Kovernino,RU,1584499140,57.13,43.81,32.7,91,99,8.23
247,Berlevåg,NO,1584499141,70.86,29.09,29.64,87,100,8.77
248,Rawson,AR,1584498858,-43.3,-65.1,60.49,66,0,9.01
249,Kalispell,US,1584499002,48.2,-114.31,39.56,41,1,20.8
250,Airai,TL,1584499141,-8.93,125.41,80.08,50,0,5.86
251,Petropavlovsk-Kamchatskiy,RU,1584499141,53.05,158.65,30.2,46,100,17.9
252,Marzuq,YE,1584499141,14.4,46.47,63.43,84,100,5.3
253,Charters Towers,AU,1584499141,-20.1,146.27,84.07,45,0,11.21
254,Bonthe,SL,1584499141,7.53,-12.51,79.92,84,73,6.04
255,Herzberg,DE,1584499142,51.69,13.22,41.34,93,40,1.12
256,João Pinheiro,BR,1584499142,-17.74,-46.17,70.16,89,26,1.43
257,Kajaani,FI,1584499142,64.23,27.73,33.8,80,39,9.17
258,Castro Verde Municipality,PT,1584499142,37.7,-8.09,47.79,84,100,6.42
259,Fukuechō,JP,1584499142,32.69,128.84,60.8,72,75,8.05
260,Surskoye,RU,1584499142,54.48,46.72,30.74,80,54,11.05
261,Timbiquí,CO,1584499142,2.77,-77.67,74.75,94,100,1.52
262,Kribi,CM,1584499142,2.95,9.92,79.57,87,100,5.64
263,São Félix do Xingu,BR,1584499142,-6.64,-51.99,72.48,97,67,2.21
264,Alamogordo,US,1584498927,32.9,-105.96,48.6,54,1,14.99
265,Dostpur,IN,1584499143,26.28,82.47,72.72,41,0,8.61
266,Acapulco de Juárez,MX,1584499094,16.86,-99.89,82.4,78,20,9.17
267,Khani,GE,1584499143,41.96,42.96,37.4,93,100,3.36
268,San Patricio,MX,1584498905,19.22,-104.7,77.0,83,40,5.82
269,Lebanon,US,1584499143,36.21,-86.29,51.87,87,90,4.7
270,Manavālakurichi,IN,1584499143,8.13,77.3,84.2,66,20,3.36
271,Qaqortoq,GL,1584499143,60.72,-46.03,16.14,59,26,11.03
272,Scarborough,GB,1584499143,54.28,-0.4,52.12,87,100,14.99
273,Saint-Augustin,CA,1584499143,51.23,-58.65,26.83,94,100,21.52
